inei;reniec;departamento;provincia;distrito;region;macroregion_inei;macroregion_minsa;iso_3166_2;fips;capital;superficie;pob_densidad_2020;altitude;latitude;longitude;indice_vulnerabilidad_alimentaria;idh_2019;pct_pobreza_total;pct_pobreza_extrema
10101;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Chachapoyas;153.78;201.437118;2338;-6.229444444;-77.87277778;0.279656827;0.642360594;9.034625;1.439875
10102;10102;AMAZONAS;CHACHAPOYAS;ASUNCION;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Asunción;25.71;13.96343835;2823;-6.0325;-77.71083333;0.558548808;0.423031925;36.519949;15.68075
10103;10103;AMAZONAS;CHACHAPOYAS;BALSAS;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Balsas;357.09;4.046598897;859;-6.835833333;-78.01972222;0.646749496;0.315308421;45.732962;15.42712
10104;10104;AMAZONAS;CHACHAPOYAS;CHETO;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Cheto;56.97;13.56854485;2143;-6.255555556;-77.70083333;0.530846059;0.345745782;39.169782;23.67841
10105;10105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Chiliquín;143.43;6.832601269;2677;-6.078333333;-77.7375;0.706854224;0.275037799;53.045662;36.39537
10106;10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Chuquibamba;278.63;7.913720705;2803;-6.935;-77.85416667;0.699132204;0.269269729;51.607832;43.78883
10107;10107;AMAZONAS;CHACHAPOYAS;GRANADA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Granada;181.41;3.153078662;3041;-6.106388889;-77.62861111;0.617030621;0.358001458;43.865957;5.943345
10108;10108;AMAZONAS;CHACHAPOYAS;HUANCAS;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Huancas;48.79;10.80139373;2591;-6.173611111;-77.86444444;0.479354858;0.414755647;31.977312;12.50203
10109;10109;AMAZONAS;CHACHAPOYAS;LA JALCA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;La Jalca;380.39;16.05983333;2869;-6.484722222;-77.815;0.636790216;0.295184438;47.947723;28.35085
10110;10110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Leimebamba;373.14;9.755051723;2226;-6.7075;-77.80388889;0.44064182;0.398950921;25.741684;15.19174
10111;10111;AMAZONAS;CHACHAPOYAS;LEVANTO;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Levanto;77.54;14.72788238;2681;-6.307777778;-77.89916667;0.544558167;0.324295308;41.081444;24.37787
10112;10112;AMAZONAS;CHACHAPOYAS;MAGDALENA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Magdalena;135.47;7.21192884;1892;-6.373055556;-77.90166667;0.429324865;0.473769772;30.634088;20.61026
10113;10113;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Duraznopampa;83.58;12.96960995;2210;-6.594444444;-77.80861111;0.439787209;0.446101217;39.230882;18.90431
10114;10114;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Molinopampa;333.86;7.868567663;2405;-6.209166667;-77.66916667;0.539001107;0.380907159;35.654304;25.45505
10115;10115;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Montevideo;119.01;6.377615326;2421;-6.618055556;-77.80222222;0.438624799;0.447630676;38.644489;10.08896
10116;10116;AMAZONAS;CHACHAPOYAS;OLLEROS;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Olleros;125.16;3.755193353;3053;-6.023888889;-77.67638889;0.587108672;0.364667298;47.9082;2.628461
10117;10117;AMAZONAS;CHACHAPOYAS;QUINJALCA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Quinjalca;91.59;11.16934163;3151;-6.091388889;-77.67861111;0.687150121;0.341954115;47.119202;19.34588
10118;10118;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Daguas;47.41;7.382408775;2254;-6.229166667;-77.74;0.397033513;0.489705576;29.704094;7.683372
10119;10119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Maino;101.67;6.973541851;2339;-6.337222222;-77.88055556;0.597339869;0.321841647;43.370115;27.92597
10120;10120;AMAZONAS;CHACHAPOYAS;SOLOCO;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Soloco;84.48;19.62594697;2387;-6.260555556;-77.74416667;0.588457167;0.344628159;41.062364;21.18722
10121;10121;AMAZONAS;CHACHAPOYAS;SONCHE;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;San Juan de Sonche;113.26;3.416916829;2089;-6.218888889;-77.77527778;0.644582868;0.372094482;55.850202;52.77253
10201;10205;AMAZONAS;BAGUA;BAGUA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Bagua;150.99;181.6212994;408;-5.638888889;-78.53111111;0.233058214;0.584063034;16.212835;4.467983
10202;10202;AMAZONAS;BAGUA;ARAMANGO;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Aramango;809.07;15.32129482;502;-5.416388889;-78.43777778;0.657975674;0.361182153;38.525807;19.27075
10203;10203;AMAZONAS;BAGUA;COPALLIN;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Copallín;99.05;57.48611812;693;-5.675;-78.42305556;0.497964084;0.467245208;24.530258;11.24363
10204;10204;AMAZONAS;BAGUA;EL PARCO;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;El Parco;18.48;93.01948052;626;-5.625;-78.47527778;0.551598132;0.489048641;35.249588;12.15905
10205;10206;AMAZONAS;BAGUA;IMAZA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Chiriaco;4430.84;9.245199556;317;-5.163611111;-78.28888889;0.684308529;0.298089241;53.94969;48.88884
10206;10201;AMAZONAS;BAGUA;LA PECA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;La Peca;144.29;68.70885023;892;-5.611944444;-78.43694444;0.473127365;0.490583796;34.761666;21.7995
10301;10301;AMAZONAS;BONGARA;JUMBILLA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Jumbilla;154.18;7.867427682;2081;-5.904444444;-77.79777778;0.352686524;0.451394193;29.547678;5.12921
10302;10304;AMAZONAS;BONGARA;CHISQUILLA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Chisquilla;174.96;3.006401463;2057;-5.8975;-77.78611111;0.511480987;0.474974891;42.24183;22.56179
10303;10305;AMAZONAS;BONGARA;CHURUJA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Churuja;33.34;11.45770846;1399;-6.019444444;-77.95194444;0.388458788;0.515913557;20.78695;1.867667
10304;10302;AMAZONAS;BONGARA;COROSHA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Corosha;45.67;21.69914605;2297;-5.843333333;-77.8225;0.570774436;0.395898213;54.796368;24.57763
10305;10303;AMAZONAS;BONGARA;CUISPES;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Cuispes;110.72;7.469291908;1912;-5.928333333;-77.94611111;0.63277173;0.299445066;45.831589;12.79052
10306;10306;AMAZONAS;BONGARA;FLORIDA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Florida (Pomacochas);203.22;31.88662533;2251;-5.826111111;-77.96944444;0.498434186;0.359323571;33.682214;6.34247
10307;10312;AMAZONAS;BONGARA;JAZAN;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Pedro Ruiz Gallo;88.83;94.46133063;1342;-5.941388889;-77.97722222;0.27520889;0.511258095;22.712901;13.66821
10308;10307;AMAZONAS;BONGARA;RECTA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Recta;24.58;13.87306753;2166;-5.917777778;-77.78888889;0.661752343;0.324005335;38.690705;15.61683
10309;10308;AMAZONAS;BONGARA;SAN CARLOS;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;San Carlos;100.76;5.11115522;1942;-5.966111111;-77.94527778;0.611126542;0.348034094;28.9591;4.725558
10310;10309;AMAZONAS;BONGARA;SHIPASBAMBA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Shipasbamba;127.29;14.42375678;1668;-5.910555556;-77.98055556;0.575265408;0.365002151;35.863148;13.36122
10311;10310;AMAZONAS;BONGARA;VALERA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Valera (San Pablo);90.14;12.29199024;1928;-6.042777778;-77.91916667;0.4320364;0.400635113;20.78695;8.484321
10312;10311;AMAZONAS;BONGARA;YAMBRASBAMBA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Yambrasbamba;1715.96;3.919089023;1887;-5.735277778;-77.925;0.631112099;0.352290053;43.859279;10.94429
10401;10601;AMAZONAS;CONDORCANQUI;NIEVA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Santa María de Nieva;4481.63;8.402969455;189;-4.592222222;-77.86444444;0.637031615;0.294015899;51.406262;34.86494
10402;10603;AMAZONAS;CONDORCANQUI;EL CENEPA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Huampami;5458.48;3.312643813;253;-4.455555556;-78.15888889;0.737567723;0.222500134;62.912381;60.02361
10403;10602;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Puerto Galilea;8035.28;2.507317729;190;-4.015833333;-77.76083333;0.68657583;0.189784606;59.872335;31.38112
10501;10401;AMAZONAS;LUYA;LAMUD;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Lámud;69.49;31.97582386;2328;-6.139166667;-77.95222222;0.336401224;0.485915285;30.951386;5.603407
10502;10402;AMAZONAS;LUYA;CAMPORREDONDO;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Camporredondo;376.01;18.20696258;1748;-6.213333333;-78.32;0.56832397;0.341756562;50.206718;10.98376
10503;10403;AMAZONAS;LUYA;COCABAMBA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Cocabamba;355.85;6.536461992;2273;-6.614166667;-78.005;0.737177849;0.254097429;55.979223;35.50347
10504;10404;AMAZONAS;LUYA;COLCAMAR;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Colcamar;106.6;21.49155722;2355;-6.299444444;-77.97305556;0.572113931;0.272209258;42.320492;29.24272
10505;10405;AMAZONAS;LUYA;CONILA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Cohechan;256.17;8.115704415;2767;-6.159166667;-78.14194444;0.559905171;0.338649207;49.642272;35.13756
10506;10406;AMAZONAS;LUYA;INGUILPATA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Inguilpata;118.04;5.066079295;2380;-6.239444444;-77.95388889;0.606903911;0.34961329;40.196248;16.60086
10507;10407;AMAZONAS;LUYA;LONGUITA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Longuita;57.91;18.73596961;2799;-6.413611111;-77.96833333;0.656906128;0.262887743;56.751291;39.73001
10508;10408;AMAZONAS;LUYA;LONYA CHICO;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Lonya Chico;83.82;12.16893343;2329;-6.229722222;-77.955;0.618362069;0.338262271;46.699525;39.43642
10509;10409;AMAZONAS;LUYA;LUYA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Luya;91.21;45.65288894;2359;-6.164166667;-77.94416667;0.399697781;0.394116516;30.284501;10.04575
10510;10410;AMAZONAS;LUYA;LUYA VIEJO;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Luya Viejo;73.87;6.633274672;2924;-6.1275;-78.085;0.62878263;0.30941767;54.438368;32.77698
10511;10411;AMAZONAS;LUYA;MARIA;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;María;80.27;12.81923508;2757;-6.428888889;-77.96083333;0.617673159;0.28214384;51.870194;22.63015
10512;10412;AMAZONAS;LUYA;OCALLI;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Ocalli;177.39;19.6234286;1757;-6.235277778;-78.26638889;0.583535671;0.327352606;45.39658;3.817944
10513;10413;AMAZONAS;LUYA;OCUMAL;AMAZONAS;ORIENTE;MACROREGION ORIENTE;PE-AMA;1;Collonce;235.86;16.8404986;1898;-6.2825;-78.21083333;0.686830938;0.285337405;52.242779;16.89763
